,Ground Truth Image,Expected object,Predicted object,Expected Caption,Generated Caption
0,data/images/n03452741/n03452741_2982.JPEG,piano,ball, A showroom displaying a red grand piano and a black baby grand piano. ,  A soccer ball with a black and white striped pattern. 
1,data/images/n02992529/n02992529_13746.JPEG,cell phone,computer, A man in glasses is talking on a cell phone while sitting at a table. ,"  The image shows a computer with a keyboard, mouse, and monitor. "
2,data/images/n07753592/n07753592_10233.JPEG,fruits and vegetables,fruits and vegetables, A ripe banana with a brown spot on the end. ,  A bunch of grapes on a white background.
3,data/images/n03584829/n03584829_33459.JPEG,ironing machine,ironing machine, An iron on a table with a compass and ink. , A woman is ironing a shirt in front of a window. 
4,data/images/n02906734/n02906734_17920.JPEG,brush,brush, A woman holding a broom and standing in front of a display of brooms. ,A brush with bristles on a wooden handle. 
5,data/images/n03063599/n03063599_5287.JPEG,coffee mug,canoe or boat, A white coffee mug with a brown starbucks logo on it. ,"A canoe with a person in it, on the water. "
6,data/images/n02992529/n02992529_46.JPEG,cell phone,canoe or boat, A black cell phone with a keypad and a screen. ,"A man is standing on a small boat, holding onto the side. "
7,data/images/n03180011/n03180011_5834.JPEG,computer,gun," A desktop computer with a monitor, keyboard, and mouse on a white background. ","  A man holds a gun, pointing it at another person who is on the ground. "
8,data/images/n03888257/n03888257_54295.JPEG,parachutes,tower," Two parachutists flying high in the sky, each holding a Canadian flag, against a backdrop of a clear blue sky. ","  A large, wooden tower with a spiral staircase and multiple levels. "
9,data/images/n03792782/n03792782_12815.JPEG,bicycle,bicycle," A group of bicyclists in a line, preparing for a race. ",  A man rides a bicycle on a dirt path. 
10,data/images/n03709823/n03709823_7681.JPEG,handbag,bicycle, A black leather handbag with a cartoon character on it. ,  A man is riding a bicycle on a dirt path. 
11,data/images/n03877472/n03877472_23771.JPEG,girl,girl," Three women in pajamas sitting on a couch, smiling and posing for the camera. ","  A young girl with long, curly hair and a pink dress is sitting on the grass. "
12,data/images/n03775071/n03775071_3297.JPEG,gloves,gloves," A pair of handmade, knitted gloves with a mix of brown, orange, and black yarn. ",  A pair of black leather gloves with a metal clasp. 
13,data/images/n03775071/n03775071_6122.JPEG,gloves,gloves, A person wearing a coat and holding their hands together in front of them. ,  A pair of black leather gloves with a metal clasp. 
14,data/images/n03773504/n03773504_17692.JPEG,rocket,gloves," The image shows a missile with the word ""USA"" on it, standing in front of an American flag. ",  A pair of black leather gloves with a metal clasp. 
15,data/images/n02607072/n02607072_304.JPEG,clownfish or fish,clownfish or fish, Two clownfish swimming among the tentacles of an anemone. ,  A clownfish with a white body and orange fins.
16,data/images/n02124075/n02124075_57.JPEG,cat,cat, A small kitten with yellow eyes and a spotted coat is sitting on a carpeted floor. ,  A black and white cat with a pink collar. 
17,data/images/n07873807/n07873807_2421.JPEG,pizza,shoes, A variety of pizzas on display in a restaurant. ,  A pair of white sneakers with blue laces and red accents on the sole. 
18,data/images/n03709823/n03709823_9033.JPEG,handbag,handbag, A black and yellow duffel bag with a black strap. ,"  A small, black purse with a long strap and a zipper closure."
19,data/images/n03792972/n03792972_5525.JPEG,camp or camping,gloves, Two tents set up on a hillside with a rocky outcropping and trees in the background. ,  A pair of black leather gloves with a silver buckle on the wrist. 
20,data/images/n03792972/n03792972_1570.JPEG,camp or camping,gloves, A tent set up in a field with camping gear. ,  A pair of black leather gloves with a white lace-up closure. 
21,data/images/n03272010/n03272010_4370.JPEG,guitar,guitar, A blue electric guitar with a pickup and a cord on a white surface. ,  This image shows a guitar with a black body and white pick guard.
22,data/images/n11939491/n11939491_51732.JPEG,flower,flower," The image shows a close-up of a daisy with white petals and a yellow center, surrounded by other daisies in the background. ",  A yellow daisy with a single white petal. 
23,data/images/n03100240/n03100240_8794.JPEG,car,car, A black convertible car parked on a gravel driveway. ,  A red sports car with a black top and white racing stripes. 
24,data/images/n03590841/n03590841_1053.JPEG,pumpkin,piano," A carved pumpkin with a face and a smaller carved pumpkin with a face, both sitting on a table with leaves around them. ",  A black grand piano with a white bench in front. 
25,data/images/n07873807/n07873807_7685.JPEG,pizza,fruits and vegetables," A large pizza with cheese, basil, and tomato sauce on a plate. ","  A bowl of assorted fruits and vegetables, including apples, oranges, bananas, grapes, strawberries, broccoli, cauliflower, carrots, and celery."
26,data/images/n03584829/n03584829_33459.JPEG,ironing machine,handbag, An iron on a table with a compass and ink. ,  A black leather handbag with a gold chain handle and a small golden clasp.
27,data/images/n03775071/n03775071_3297.JPEG,gloves,gloves," A pair of handmade, knitted gloves with a mix of brown, orange, and black yarn. ",  A pair of black leather gloves with a metal clasp. 
28,data/images/n04069434/n04069434_12771.JPEG,camera,tower," The image shows a black digital single-lens reflex camera (DSLR) with a lens attached, set against a white background. ","  A group of people playing a team-based game, with one person serving as the referee."
29,data/images/n02492035/n02492035_24294.JPEG,monkey,monkey," Two monkeys in a tree enclosure, one grooming the other. ",  A monkey wearing a hat and glasses. 
30,data/images/n02690373/n02690373_20090.JPEG,airplane,clownfish or fish, A blue and white airplane on the runway. ,"  A clownfish, also known as a ""clownfish,"" is a vibrantly colored fish with distinctive orange and white stripes."
31,data/images/n03297495/n03297495_1447.JPEG,coffee maker,guitar, A vintage metal hand juicer on a table. ,  The image shows a guitar with a black body and silver pickguard. 
32,data/images/n03272562/n03272562_608.JPEG,train,train, A blue and white train on the tracks. ,"  A black and white photograph of a train with multiple cars, each featuring large windows."
33,data/images/n03773504/n03773504_6291.JPEG,rocket,handbag, A large nuclear missile inside a missile silo. ,"  A small, brown leather handbag with a gold chain handle and a zippered closure. "
34,data/images/n03590841/n03590841_5746.JPEG,pumpkin,ironing machine," A carved pumpkin with a jack-o-lantern face and a sign that reads ""they eat their own"" in front of it. ",  A large appliance with a flat surface for drying clothes.
35,data/images/n02504458/n02504458_6155.JPEG,elephant,elephant, An elephant walking in a grassy area. ,"  A large, gray elephant standing on two legs with its trunk raised. "
36,data/images/n03709823/n03709823_7681.JPEG,handbag,handbag, A black leather handbag with a cartoon character on it. ,"  A small, rectangular handbag with a single handle and a flap closure."
37,data/images/n02607072/n02607072_1617.JPEG,clownfish or fish,airplane, Two clownfish swimming near a coral reef. ,  A small airplane with a propeller is flying in the sky. 
38,data/images/n04044716/n04044716_9463.JPEG,tower,camera, A large white satellite dish. ,  A black camera with a lens and a flash attachment. 
39,data/images/n03888257/n03888257_18921.JPEG,parachutes,pool table, A person is kiteboarding on a frozen lake. ,  A group of people play pool in a bar. 
40,data/images/n11939491/n11939491_16390.JPEG,flower,gun," The image features a single white daisy with a yellow center, surrounded by green foliage. ","  A handgun, a small firearm designed for one-handed use. "
41,data/images/n03272562/n03272562_4339.JPEG,train,train, A train on the tracks with cargo cars behind it. ,"  A train with a red and white striped roof, sitting on tracks in an open field."
42,data/images/n03063599/n03063599_5287.JPEG,coffee mug,canoe or boat, A white coffee mug with a brown starbucks logo on it. ,"A man is standing on a canoe, with his dog sitting next to him. "
43,data/images/n13054560/n13054560_11059.JPEG,mushroom,flower, A mushroom growing out of a tree stump. ,  A single white flower with a dark center.
44,data/images/n07753592/n07753592_1198.JPEG,fruits and vegetables,fruits and vegetables," A still life of fruit, including an apple, bananas, and a rose, arranged on a reflective surface. ",  A bunch of bananas and a single orange.
45,data/images/n03197337/n03197337_830.JPEG,watch or watches,guitar," A digital wristwatch with a black strap and a white face, inside a clear plastic case. ","  A vintage, solid-body electric guitar with a maple neck and rosewood fretboard. "
