,Ground Truth Image,Expected object,Predicted object,Expected Caption,Generated Caption
0,data/images/n03452741/n03452741_2982.JPEG,piano,ball, A showroom displaying a red grand piano and a black baby grand piano. ,"  A white ball with a black dot in the center, surrounded by concentric circles of different colors. "
1,data/images/n02992529/n02992529_13746.JPEG,cell phone,computer, A man in glasses is talking on a cell phone while sitting at a table. ,  A desktop computer with a large monitor and keyboard.
2,data/images/n07753592/n07753592_10233.JPEG,fruits and vegetables,fruits and vegetables, A ripe banana with a brown spot on the end. ,"  A bowl of assorted fruits and vegetables, including apples, bananas, oranges, grapes, strawberries, blueberries, raspberries, blackberries, watermelon, cantaloupe, honeydew melon, kiwi fruit, pineapple, cucumber, tomato, bell pepper, carrot, celery, broccoli, cauliflower, and spinach."
3,data/images/n03584829/n03584829_33459.JPEG,ironing machine,ironing machine, An iron on a table with a compass and ink. ,"  An ironing board with a folded blanket and an iron on top, set up for use. "
4,data/images/n02906734/n02906734_17920.JPEG,brush,brush, A woman holding a broom and standing in front of a display of brooms. ,  A toothbrush with a handle and bristles. 
5,data/images/n03063599/n03063599_5287.JPEG,coffee mug,canoe or boat, A white coffee mug with a brown starbucks logo on it. ,"  A small, inflatable boat with a single person sitting in it on the water. "
6,data/images/n02992529/n02992529_46.JPEG,cell phone,canoe or boat, A black cell phone with a keypad and a screen. ,"  A small, inflatable canoe with a single person on board. "
7,data/images/n03180011/n03180011_5834.JPEG,computer,camera," A desktop computer with a monitor, keyboard, and mouse on a white background. ","  A man wearing a white shirt and black pants, standing in front of a camera with a large lens attached to it."
8,data/images/n03888257/n03888257_54295.JPEG,parachutes,parachutes," Two parachutists flying high in the sky, each holding a Canadian flag, against a backdrop of a clear blue sky. ",  A person wearing a parachute jumps from an airplane while holding onto the handle of their chute. 
9,data/images/n03792782/n03792782_12815.JPEG,bicycle,bicycle," A group of bicyclists in a line, preparing for a race. ",  A man rides a bicycle on a dirt path. 
10,data/images/n03709823/n03709823_7681.JPEG,handbag,bicycle, A black leather handbag with a cartoon character on it. ,  A woman is riding a bicycle on a dirt path. 
11,data/images/n03877472/n03877472_23771.JPEG,girl,girl," Three women in pajamas sitting on a couch, smiling and posing for the camera. ","  A young girl wearing a pink hooded jacket and matching beanie hat, standing on a snowy hill with her arms crossed. "
12,data/images/n03775071/n03775071_3297.JPEG,gloves,gloves," A pair of handmade, knitted gloves with a mix of brown, orange, and black yarn. ",  A pair of black leather gloves with white stitching. 
13,data/images/n03775071/n03775071_6122.JPEG,gloves,gloves, A person wearing a coat and holding their hands together in front of them. ,  A pair of black leather gloves with a white logo on the back. 
